CASENUM,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
202102932931,1,1,1TTF532A*H3******,2022-07-10 03:16:04,1,6,TRAILER,8231,TRANSCRAFT CORPORATION,10512,BENSON,27664,Aluminium Flatbed,2017,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,53.000,,2,,
202102941855,2,1,1GRAA062*FB******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2015,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
202102959195,2,1,1GRAA062*KE******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2019,,,6,UNITED STATES (USA),GEORGIA,STATESBORO,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,"Semitrailer - Dry Freight Van, Reefer Van, Insulated Van",2,,
202102959577,2,1,575200L2*EH******,2022-07-10 03:16:04,0,6,TRAILER,16014,"UNIVERSAL TRAILER CARGO GROUP, INC.",6062,WELLS CARGO,15857,Wells Cargo Trailer,2014,,,6,UNITED STATES (USA),INDIANA,ELKHART,,,61,Trailer,,,,,101,Other,30,Other,,Enclosed or Flatbed Trailer,2,,
202102959627,2,1,3H3V532C*JR******,2022-07-10 03:16:04,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2018,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
202102961258,1,1,1R9FD402*5M356***,2022-07-10 03:16:04,0,6,TRAILER,3016,ROLLS RITE TRAILERS,6238,ROLLS RITE TRAILERS INC,17305,Rolls Rite Trailers Inc,2005,,,6,UNITED STATES (USA),FLORIDA,MARIANNA,,,61,Trailer,,,,,125,Dovetail,5,Fifth Wheel,40.000,,2,,
202102961637,1,1,1GR4A962*JE******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2018,,,6,UNITED STATES (USA),GEORGIA,STATESBORO,,,61,Trailer,,,,,,,6,Kingpin,48.000,Semitrailer - platform,2,,
202102961733,1,1,10HHSE16*N1******,2022-07-10 03:16:04,0,6,TRAILER,12469,"HUDSON BROTHERS TRAILER MFG., INC.",11054,HUDSON BROTHERS,28847,HSE16,2022,Pro Series,,6,UNITED STATES (USA),NORTH CAROLINA,INDIAN TRAIL,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,1,Ball Type Pull,16.000,,2,,
202102968789,1,1,5WWBD322*M6******,2022-07-10 03:16:04,0,6,TRAILER,7833,DELCO TRAILERS,758,DELCO TRAILERS,3926,Delco Trailers,2021,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,14,Bumper Pull,32.000,,2,,
202102974929,1,1,1GR4M062*JH******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2018,,,6,UNITED STATES (USA),TENNESSEE,HUNTSVILLE,,,61,Trailer,,,,,,,6,Kingpin,53.000,Semitrailer - platform,2,,
