CASENUM,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
202304646466,2,1,53BLTEB2*FU******,2024-08-02 03:06:25,0,6,TRAILER,6339,"LGS INDUSTRIES, INC.",1919,LGS INDUSTRIES,5447,LOOK,2015,,,6,UNITED STATES (USA),GEORGIA,,,,,,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,29.000,Length = 20-29,2,,
202304646924,2,1,1GR1A962*LB******,2024-08-02 03:06:25,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2020,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,,,61,Trailer,,,,,,,6,Kingpin,48.000,"Semitrailer - dry freight, reefer, or insulated van",2,,
202304646924,3,1,58SGB402*ME******,2024-08-02 03:06:25,0,6,TRAILER,1509,EAST TEXAS TRAILERS,1358,EAST TEXAS TRAILERS,4701,East Texas Trailers,2021,,,6,UNITED STATES (USA),TEXAS,PETTY,,,,,61,Trailer,,,,,76,Tilt/Angled Trailer,3,Gooseneck,40.000,Tilt Deck,2,,
202304655011,1,1,5E0AA164*MG******,2024-08-02 03:06:25,0,6,TRAILER,20895,"COTTRELL, INC.",12482,COTTRELL,32567,"C-09, C-11, CS-10, CS-12M3, CX-09, CX-5LSCH, CX-AK7, CX-LSFA-TRI",2021,,,6,UNITED STATES (USA),GEORGIA,GAINESVILLE,,,,,61,Trailer,,,,,3,Car Hauler Trailer,5,Fifth Wheel,,Trailer Length (feet): 48-50,2,3,Tandem
202304655335,2,1,1XNBU121*M1******,2024-08-02 03:06:25,0,6,TRAILER,15744,"TRIPLE CROWN TRAILERS, LLC",5454,"TRIPLE CROWN TRAILERS, INC",29556,"Triple Crown Trailers, Inc",2021,,,6,UNITED STATES (USA),FLORIDA,OCALA,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,12.000,,1,,
202304655475,1,1,1W9BD142*N1654***,2024-08-02 03:06:25,0,6,TRAILER,20552,WATCHDOG TRAILERS LLC,10951,WATCHDOG TRAILERS LLC,28662,WATCHDOG TRAILERS LLC,2022,,,6,UNITED STATES (USA),INDIANA,SOUTH BEND,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,31,Ball Hitch,14.000,,2,,
202304656302,1,1,1UYVS253*M2******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2021,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304656657,1,1,1W16532A*J5******,2024-08-02 03:06:25,0,6,TRAILER,11681,WILSON TRAILER CO.,10450,WILSON,27561,Wilson,2018,,,6,UNITED STATES (USA),SOUTH DAKOTA,YANKTON,,,,Type of suspension: Air Ride,61,Trailer,,,,,53,Livestock - Cattle Trailer,,,53.000,,2,,
202304658951,2,1,1UYVS248*TU******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1996,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
202304662452,2,1,7SPCC402*PN******,2024-08-02 03:06:25,0,6,TRAILER,21143,PRATT INTERMODAL CHASSIS LLC,11380,PRATT INTERMODAL CHASSIS LLC,29491,PRATT INTERMODAL CHASSIS LLC,2023,,,6,UNITED STATES (USA),MICHIGAN,NILES,,,,,116,Incomplete - Trailer Chassis,,,,,109,Container Chassis/Container Trailer,4,Straight Semi/Semi Trailer,40.000,Semitrailer (Container/Intermodal Chassis),2,,
