iter	TotalF1	MultiClass
0	0.936049012	1.01290058
1	0.9379462881	0.9383641422
2	0.9402704671	0.8731117276
3	0.9417611874	0.8155208798
4	0.9427904707	0.7639650518
5	0.9435390448	0.7178888686
6	0.9436345773	0.6760513783
7	0.943517494	0.6378982468
8	0.9440205705	0.6031611332
9	0.9441332535	0.5713912204
10	0.9440492535	0.5422414586
11	0.9442653504	0.515322257
12	0.9443812029	0.4906175952
13	0.9440268877	0.4676262238
14	0.9447155743	0.4462222943
15	0.9445032769	0.4265945865
16	0.9445219203	0.4085172523
17	0.9446662198	0.3913244778
18	0.9449192762	0.3752682596
19	0.9449894997	0.3602657026
20	0.9451041419	0.3464651338
21	0.9452040687	0.3332731732
22	0.9453184039	0.3209527861
23	0.9453733026	0.3093587814
24	0.9453538412	0.298609903
25	0.9453747816	0.2883685276
26	0.9453365145	0.2787574483
27	0.9453024612	0.269774874
28	0.9453707586	0.2612916663
29	0.9453718086	0.2535243658
30	0.9453877823	0.2459954208
31	0.9454469513	0.2388613651
32	0.9454360145	0.2323556872
33	0.9454026336	0.2260098908
34	0.9454072116	0.2199995111
35	0.9453706529	0.2143191566
36	0.9454852205	0.2090190664
37	0.9455171025	0.2042706991
38	0.9456244866	0.1994059449
39	0.9457679233	0.1948368697
40	0.9457124	0.1906496155
41	0.9459728408	0.1865416507
42	0.9458964606	0.1827742427
43	0.9459314501	0.1792829943
44	0.9460188741	0.1763241459
45	0.946028067	0.1730018602
46	0.9462361522	0.1698231577
47	0.9463226197	0.1669890705
48	0.9463777932	0.1642855921
49	0.9464242986	0.1617070309
50	0.9464589004	0.1593258353
51	0.9466950189	0.1568637902
52	0.9468300664	0.1546355698
53	0.946891698	0.1525373097
54	0.9469926301	0.1504175917
55	0.9469941631	0.1484391669
56	0.947061006	0.1466445295
57	0.947088695	0.1449326529
58	0.9471231564	0.1433605686
59	0.9473243665	0.1419729259
60	0.9473993994	0.1405612203
61	0.9474577322	0.1392096849
62	0.9475148417	0.1378006422
63	0.947652325	0.1364987936
64	0.9476895904	0.1353215815
65	0.9477220755	0.1342228904
66	0.94779924	0.1331745398
67	0.9478803358	0.1322653683
68	0.9479068575	0.1312637593
69	0.94794964	0.1303906699
70	0.947911478	0.1294223725
71	0.947958801	0.128598563
72	0.9480214349	0.1278754386
73	0.9480535026	0.1271869444
74	0.9481225185	0.1265310404
75	0.9481803338	0.1259011551
76	0.9482095892	0.1253239003
77	0.9482545156	0.1246667663
78	0.9482455254	0.1241562595
79	0.9482817537	0.1236167945
80	0.9482903762	0.1231243655
81	0.9483927497	0.122556115
82	0.948418601	0.1221013715
83	0.9484720619	0.1216382662
84	0.9484896455	0.1211924628
85	0.948533232	0.1206776972
86	0.9485777876	0.1202358892
87	0.948543359	0.1198792113
88	0.948631009	0.1194268917
89	0.9486267869	0.1190505924
90	0.9486535805	0.1186807773
91	0.948701874	0.1182953406
92	0.9488139827	0.1179957314
93	0.9488270446	0.1177302099
94	0.9489323566	0.11740692
95	0.9489135047	0.1171367005
96	0.9489476196	0.1168453882
97	0.9490229215	0.1165736005
