iter	Passed	Remaining
0	41	41340
1	91	45454
2	142	47446
3	195	48718
4	249	49721
5	301	49887
6	355	50484
7	404	50105
8	454	50093
9	503	49891
10	554	49836
11	605	49866
12	658	49958
13	705	49719
14	754	49542
15	802	49323
16	849	49139
17	900	49100
18	951	49103
19	1006	49294
20	1059	49389
21	1112	49436
22	1203	51110
23	1257	51146
24	1307	50974
25	1358	50886
26	1410	50843
27	1467	50943
28	1520	50895
29	1577	51001
30	1634	51092
31	1688	51068
32	1741	51042
33	1791	50911
34	1843	50829
35	1897	50809
36	1951	50789
37	2001	50667
38	2055	50650
39	2107	50578
40	2157	50458
41	2204	50276
42	2254	50186
43	2304	50076
44	2360	50101
45	2412	50029
46	2460	49898
47	2516	49912
48	2563	49756
49	2612	49643
50	2666	49610
51	2715	49504
52	2761	49334
53	2812	49279
54	2864	49212
55	2915	49145
56	2964	49046
57	3017	49007
58	3083	49176
59	3137	49146
60	3256	50134
61	3315	50163
62	3364	50038
63	3413	49923
64	3466	49870
65	3525	49888
66	3578	49836
67	3634	49814
68	3691	49805
69	3746	49772
70	3804	49785
71	3854	49682
72	3905	49591
73	3955	49495
74	4008	49440
75	4059	49354
76	4115	49334
77	4165	49239
78	4218	49185
79	4266	49070
80	4316	48968
81	4368	48901
82	4420	48839
83	4470	48747
84	4517	48630
85	4565	48520
86	4617	48461
87	4669	48394
88	4721	48331
89	4777	48310
90	4829	48241
91	4895	48313
92	4956	48336
93	5009	48286
94	5065	48253
95	5123	48242
96	5177	48202
97	5237	48202
98	5297	48209
99	5352	48168
100	5409	48145
101	5463	48100
102	5508	47976
103	5561	47915
104	5623	47929
105	5679	47902
106	5735	47866
107	5782	47761
108	5833	47684
109	5888	47644
110	5945	47615
111	6000	47578
112	6048	47474
113	6098	47396
114	6149	47322
115	6199	47245
116	6252	47191
117	6309	47159
118	6358	47074
119	6409	47006
120	6462	46944
121	6503	46807
122	6559	46771
123	6613	46721
124	6666	46665
125	6736	46726
126	6799	46737
127	6855	46706
128	6912	46670
129	6958	46569
130	7011	46508
131	7060	46429
132	7102	46300
133	7153	46233
134	7197	46114
135	7246	46037
136	7296	45962
137	7345	45881
138	7398	45829
139	7448	45756
140	7499	45687
141	7554	45645
142	7605	45581
143	7660	45537
144	7713	45485
145	7767	45434
146	7815	45352
147	7869	45300
148	7913	45199
149	7971	45170
150	8023	45112
151	8077	45063
152	8126	44989
153	8183	44957
154	8237	44910
155	8286	44832
156	8340	44782
157	8395	44740
158	8439	44639
159	8490	44572
160	8529	44447
161	8574	44355
162	8623	44279
163	8679	44245
164	8743	44245
165	8807	44248
166	8862	44208
167	8912	44137
168	8960	44061
169	9011	43997
170	9054	43897
171	9102	43818
172	9149	43735
173	9195	43652
174	9247	43593
175	9294	43513
176	9349	43471
177	9394	43384
178	9449	43340
179	9496	43263
180	9553	43228
181	9605	43171
182	9662	43138
183	9712	43071
184	9763	43012
185	9814	42952
186	9866	42893
187	9913	42815
188	9964	42756
189	10018	42710
190	10061	42618
191	10111	42551
192	10162	42492
193	10216	42446
194	10262	42367
195	10313	42307
196	10359	42225
197	10415	42188
198	10473	42155
199	10522	42088
200	10580	42059
201	10629	41991
202	10682	41942
203	10734	41883
204	10777	41796
205	10824	41722
206	10875	41664
207	10925	41599
208	10970	41518
209	11022	41463
210	11071	41400
211	11114	41313
212	11165	41253
213	11221	41213
214	11271	41155
215	11319	41085
216	11371	41030
217	11431	41006
218	11478	40934
219	11527	40868
220	11577	40810
221	11628	40750
222	11677	40689
223	11732	40643
224	11785	40592
225	11885	40705
226	11940	40661
227	12001	40636
228	12051	40576
229	12116	40563
230	12175	40531
231	12227	40475
232	12273	40400
233	12325	40346
234	12376	40288
235	12419	40205
236	12468	40139
237	12523	40096
238	12575	40040
239	12621	39967
240	12669	39899
241	12719	39839
242	12773	39791
243	12818	39717
244	12868	39655
245	12922	39608
246	12983	39580
247	13049	39570
248	13111	39546
249	13159	39479
250	13209	39418
251	13256	39347
252	13312	39306
253	13370	39270
254	13437	39258
255	13499	39233
256	13545	39161
257	13594	39096
258	13643	39034
259	13691	38967
260	13747	38926
261	13795	38858
262	13843	38793
263	13895	38738
264	13945	38678
265	13996	38621
266	14043	38552
267	14096	38501
268	14151	38455
269	14213	38429
270	14260	38362
271	14314	38313
272	14384	38305
273	14437	38253
274	14491	38204
275	14543	38151
276	14609	38133
277	14668	38096
278	14717	38034
279	14771	37983
280	14833	37954
281	14887	37905
282	14946	37868
283	15001	37820
284	15055	37771
285	15113	37730
286	15164	37673
287	15234	37662
288	15294	37626
289	15351	37584
290	15409	37544
291	15469	37507
292	15517	37443
293	15565	37378
294	15615	37319
295	15703	37348
296	15751	37282
297	15798	37217
298	15859	37181
299	15913	37130
300	15962	37069
301	16010	37004
302	16059	36941
303	16109	36883
